id,stock_code,stock_name,close,change_rate,change_amount,volume,amount,amplitude,high,low,open,pre_close,volume_ratio,turnover,pe_dynamic,pb
5001,000617,中油资本,8.13,-1.45%,-0.12,105.45万,8.59亿,2.91%,8.31,8.07,8.27,8.25,0.89,0.83%,16.33,0.97
5002,002239,奥特佳,2.70,-1.46%,-0.04,57.90万,1.57亿,2.92%,2.75,2.67,2.74,2.74,1.03,2.16%,57.25,1.51
5003,605133,嵘泰股份,41.15,-1.46%,-0.61,13.67万,5.65亿,3.26%,42.10,40.74,41.23,41.76,0.94,4.85%,65.12,3.05
5004,603598,引力传媒,22.23,-1.46%,-0.33,15.77万,3.50亿,3.50%,22.74,21.95,22.72,22.56,0.51,5.86%,144.27,26.68
5005,600265,*ST景谷,20.20,-1.46%,-0.30,1.22万,2453.75万,3.85%,20.70,19.91,20.50,20.50,2.09,0.94%,-625.16,12.38
5006,300068,ST南都,4.70,-1.47%,-0.07,46.78万,2.22亿,3.56%,4.84,4.67,4.73,4.77,0.68,5.48%,-3.47,3.83
5007,300866,安克创新,127.89,-1.47%,-1.91,5.51万,7.11亿,6.32%,134.80,126.60,131.00,129.80,0.99,1.79%,36.36,6.69
5008,301193,家联科技,24.09,-1.47%,-0.36,15.74万,3.89亿,9.20%,25.95,23.70,24.57,24.45,1.44,8.98%,-14.16,2.74
5009,002608,江苏国信,8.02,-1.47%,-0.12,42.80万,3.43亿,3.44%,8.17,7.89,8.10,8.14,0.79,1.13%,9.71,0.85
5010,000686,东北证券,7.99,-1.48%,-0.12,30.63万,2.46亿,2.71%,8.19,7.97,8.16,8.11,1.11,1.31%,11.39,0.92
5011,002488,金固股份,11.26,-1.49%,-0.17,23.84万,2.69亿,2.89%,11.52,11.19,11.50,11.43,1.13,2.59%,120.75,3.23
5012,002410,广联达,9.92,-1.49%,-0.15,33.14万,3.30亿,2.98%,10.18,9.88,10.08,10.07,0.92,2.11%,119.79,2.87
5013,600029,南方航空,5.29,-1.49%,-0.08,95.87万,5.09亿,2.23%,5.39,5.27,5.38,5.37,0.85,0.71%,16.18,2.59
5014,601108,财通证券,7.92,-1.49%,-0.12,53.17万,4.24亿,3.11%,8.15,7.90,8.11,8.04,0.98,1.14%,14.90,0.96
5015,002642,荣联科技,8.56,-1.50%,-0.13,28.58万,2.44亿,3.68%,8.72,8.40,8.69,8.69,0.73,4.32%,1735.62,4.77
5016,000333,美的集团,80.28,-1.50%,-1.22,30.98万,24.94亿,2.59%,82.00,79.89,81.67,81.50,0.88,0.45%,12.05,2.63
5017,601555,东吴证券,7.89,-1.50%,-0.12,42.82万,3.40亿,2.50%,8.09,7.89,8.05,8.01,1.04,0.86%,12.23,0.90
5018,000665,湖北广电,4.59,-1.50%,-0.07,19.12万,8775.19万,4.29%,4.73,4.53,4.72,4.66,0.72,1.68%,-11.36,1.64
5019,300051,琏升科技,13.08,-1.51%,-0.20,26.16万,3.48亿,3.61%,13.54,13.06,13.29,13.28,0.91,7.12%,-58.52,50.93
5020,600784,鲁银投资,7.83,-1.51%,-0.12,22.83万,1.78亿,4.65%,8.03,7.66,7.90,7.95,0.68,3.38%,23.77,1.59
5021,000981,山子高科,3.91,-1.51%,-0.06,343.50万,13.36亿,3.78%,3.97,3.82,3.96,3.97,0.57,3.61%,38.93,12.61
5022,603108,润达医疗,14.29,-1.52%,-0.22,32.04万,4.54亿,5.31%,14.66,13.89,14.51,14.51,0.63,5.31%,-40.27,2.35
5023,300698,万马科技,39.57,-1.52%,-0.61,9.07万,3.58亿,4.75%,40.44,38.53,40.20,40.18,1.45,7.65%,218.68,9.91
5024,002995,天地在线,20.09,-1.52%,-0.31,6.12万,1.24亿,3.14%,20.65,20.01,20.41,20.40,0.63,5.45%,-2618.26,4.44
5025,920717,瑞星股份,8.41,-1.52%,-0.13,1.63万,1372.73万,3.16%,8.59,8.32,8.53,8.54,1.51,3.67%,94.59,1.75
5026,301371,敷尔佳,31.02,-1.52%,-0.48,3.06万,9527.01万,3.78%,31.99,30.80,31.67,31.50,0.91,3.93%,23.51,2.96
5027,600188,兖矿能源,20.01,-1.53%,-0.31,42.05万,8.41亿,3.20%,20.37,19.72,20.24,20.32,0.77,0.71%,12.70,2.63
5028,002500,山西证券,5.16,-1.53%,-0.08,37.85万,1.96亿,2.86%,5.28,5.13,5.25,5.24,0.91,1.05%,18.16,0.99
5029,920271,邦德股份,11.60,-1.53%,-0.18,5619,655.87万,2.63%,11.88,11.57,11.70,11.78,0.93,0.97%,23.31,2.43
5030,300792,壹网壹创,35.38,-1.53%,-0.55,8.40万,2.97亿,5.01%,36.43,34.63,36.00,35.93,0.79,3.95%,66.77,2.85
5031,000568,泸州老窖,90.02,-1.53%,-1.40,7.82万,7.05亿,2.49%,91.97,89.69,91.41,91.42,0.74,0.53%,8.93,2.57
5032,301246,宏源药业,32.11,-1.53%,-0.50,16.74万,5.40亿,4.42%,33.14,31.70,33.00,32.61,0.73,9.84%,22.25,2.79
5033,920198,微创光电,8.99,-1.53%,-0.14,8.00万,7122.57万,4.27%,9.10,8.71,8.84,9.13,2.23,11.35%,-17.50,3.54
5034,603209,兴通股份,14.06,-1.54%,-0.22,5.23万,7397.34万,2.45%,14.39,14.04,14.28,14.28,1.14,1.63%,10.25,1.32
5035,002969,嘉美包装,19.17,-1.54%,-0.30,54.47万,10.46亿,5.80%,19.77,18.64,19.30,19.47,0.89,4.98%,78.65,6.47
5036,688765,禾元生物-U,55.48,-1.54%,-0.87,1.66万,9230.92万,4.35%,57.20,54.75,56.52,56.35,1.02,3.60%,-137.56,6.91
5037,688382,益方生物-U,20.38,-1.55%,-0.32,10.83万,2.22亿,4.25%,20.99,20.11,20.81,20.70,0.78,1.87%,-66.42,7.88
5038,000858,五 粮 液,84.03,-1.55%,-1.32,26.04万,21.96亿,1.84%,85.60,84.03,85.58,85.35,0.77,0.67%,10.11,2.55
5039,300715,凯伦股份,20.34,-1.55%,-0.32,41.80万,8.47亿,7.45%,21.15,19.61,20.76,20.66,1.00,13.36%,132.64,4.38
5040,920932,科达自控,13.98,-1.55%,-0.22,1.62万,2271.16万,4.01%,14.38,13.81,14.35,14.20,1.08,1.87%,-67.48,2.44
5041,002965,祥鑫科技,37.48,-1.55%,-0.59,13.75万,5.16亿,3.07%,38.18,37.01,38.02,38.07,0.98,7.22%,-145.70,2.35
5042,600061,国投资本,6.35,-1.55%,-0.10,42.32万,2.69亿,2.64%,6.49,6.32,6.46,6.45,1.06,0.66%,13.26,0.74
5043,603197,保隆科技,34.73,-1.56%,-0.55,5.25万,1.82亿,2.86%,35.33,34.32,35.22,35.28,1.08,2.49%,25.97,2.31
5044,003010,若羽臣,27.13,-1.56%,-0.43,5.88万,1.60亿,3.19%,27.78,26.90,27.70,27.56,1.08,2.60%,29.17,10.66
5045,603616,韩建河山,6.94,-1.56%,-0.11,44.60万,3.02亿,8.09%,7.08,6.51,6.82,7.05,1.00,11.61%,-68.49,12.63
5046,600009,上海机场,25.20,-1.56%,-0.40,10.69万,2.70亿,1.99%,25.65,25.14,25.58,25.60,0.95,0.52%,27.13,1.45
5047,600839,四川长虹,8.17,-1.57%,-0.13,71.02万,5.81亿,2.89%,8.35,8.11,8.30,8.30,1.23,1.54%,95.74,2.45
5048,002926,华西证券,8.15,-1.57%,-0.13,20.43万,1.67亿,2.29%,8.34,8.15,8.31,8.28,1.15,0.78%,13.59,0.85
5049,600996,贵广网络,8.75,-1.57%,-0.14,39.31万,3.44亿,4.50%,9.02,8.62,8.96,8.89,0.69,3.15%,-10.26,6.95
5050,002443,金洲管道,12.47,-1.58%,-0.20,32.29万,4.02亿,4.81%,12.83,12.22,12.61,12.67,0.73,6.22%,40.66,1.86
5051,001330,博纳影业,9.32,-1.58%,-0.15,101.20万,9.40亿,5.81%,9.57,9.02,9.52,9.47,0.89,8.70%,-72.34,3.37
5052,920781,瑞奇智造,6.83,-1.59%,-0.11,1.88万,1285.99万,4.61%,7.10,6.78,7.10,6.94,1.19,1.84%,-37.38,2.99
5053,600519,贵州茅台,1290.20,-1.59%,-20.80,4.92万,63.72亿,1.66%,1311.91,1290.12,1310.95,1311.00,1.04,0.39%,14.83,5.96
5054,603060,国检集团,6.82,-1.59%,-0.11,19.08万,1.31亿,6.06%,7.14,6.72,7.08,6.93,0.83,2.37%,-51.57,2.71
5055,920159,农大科技,36.53,-1.59%,-0.59,1.04万,3812.49万,3.50%,37.66,36.36,37.23,37.12,0.88,7.23%,15.47,2.50
5056,301260,格力博,17.32,-1.59%,-0.28,9.50万,1.63亿,6.36%,17.78,16.66,17.71,17.60,1.25,4.63%,15.44,1.94
5057,002868,绿康生化,36.41,-1.59%,-0.59,1.64万,6002.88万,1.54%,36.95,36.38,36.67,37.00,0.64,1.54%,231.57,81.40
5058,000428,华天酒店,3.70,-1.60%,-0.06,17.79万,6524.89万,5.32%,3.81,3.61,3.80,3.76,1.19,1.75%,-15.08,2.95
5059,603589,口子窖,20.93,-1.60%,-0.34,5.48万,1.15亿,2.54%,21.38,20.84,21.38,21.27,0.77,0.92%,9.52,1.17
5060,601699,潞安环能,14.12,-1.60%,-0.23,26.99万,3.82亿,4.11%,14.58,13.99,14.36,14.35,0.89,0.90%,14.68,0.91
5061,600436,片仔癀,124.08,-1.61%,-2.03,3.67万,4.58亿,1.67%,126.11,124.00,126.04,126.11,0.96,0.61%,25.17,4.92
5062,603057,紫燕食品,26.87,-1.61%,-0.44,3.44万,9277.66万,4.25%,27.68,26.52,27.49,27.31,0.89,0.84%,33.23,5.19
5063,688081,兴图新科,56.77,-1.61%,-0.93,3.15万,1.80亿,6.98%,60.04,56.01,58.32,57.70,1.30,3.05%,-482.94,14.83
5064,920694,中裕科技,16.43,-1.62%,-0.27,7947,1309.58万,3.89%,16.96,16.31,16.77,16.70,1.00,1.27%,16.21,2.46
5065,601127,赛力斯,82.03,-1.62%,-1.35,31.96万,26.14亿,3.66%,83.06,80.01,83.00,83.38,0.99,2.05%,47.35,3.46
5066,300879,大叶股份,20.62,-1.62%,-0.34,2.95万,6130.45万,4.20%,21.48,20.60,21.08,20.96,0.83,1.47%,44.54,3.38
5067,920110,雷特科技,29.96,-1.64%,-0.50,1580,473.93万,4.63%,31.00,29.59,31.00,30.46,1.24,0.97%,52.52,3.11
5068,002714,牧原股份,38.84,-1.65%,-0.65,45.27万,17.60亿,3.27%,39.94,38.65,39.80,39.49,0.95,1.19%,-46.14,2.67
5069,000728,国元证券,7.17,-1.65%,-0.12,68.40万,4.92亿,3.43%,7.38,7.13,7.33,7.29,1.15,1.57%,14.43,0.80
5070,601998,中信银行,7.75,-1.65%,-0.13,51.14万,3.99亿,1.78%,7.89,7.75,7.83,7.88,1.04,0.13%,5.36,0.58
5071,002315,焦点科技,29.16,-1.65%,-0.49,8.25万,2.41亿,3.14%,29.92,28.99,29.68,29.65,1.08,3.14%,30.70,4.53
5072,003020,立方制药,20.22,-1.65%,-0.34,2.15万,4350.12万,4.28%,20.95,20.07,20.73,20.56,1.21,1.56%,27.24,2.08
5073,603737,三棵树,37.99,-1.66%,-0.64,6.20万,2.37亿,2.46%,38.75,37.80,38.70,38.63,0.91,0.84%,65.69,9.34
5074,920942,恒立钻具,22.49,-1.66%,-0.38,9396,2135.57万,5.07%,23.46,22.30,23.02,22.87,1.10,2.27%,69.74,2.73
5075,000099,中信海直,16.57,-1.66%,-0.28,10.38万,1.72亿,3.50%,17.07,16.48,16.86,16.85,1.20,1.34%,34.50,2.33
5076,920885,星辰科技,15.97,-1.66%,-0.27,3.04万,4870.55万,3.94%,16.48,15.84,16.24,16.24,1.13,3.43%,1153.31,6.63
5077,600115,中国东航,4.14,-1.66%,-0.07,187.60万,7.78亿,2.85%,4.23,4.11,4.23,4.21,0.82,1.10%,14.00,6.48
5078,300021,大禹节水,4.14,-1.66%,-0.07,18.44万,7614.39万,3.80%,4.24,4.08,4.23,4.21,1.53,2.11%,108.23,1.61
5079,301295,美硕科技,49.00,-1.67%,-0.83,1.99万,9813.18万,5.62%,50.88,48.08,50.05,49.83,0.84,6.79%,61.03,5.17
5080,300511,雪榕生物,6.47,-1.67%,-0.11,23.07万,1.50亿,3.04%,6.64,6.44,6.59,6.58,0.89,4.23%,5.99,2.32
5081,000783,长江证券,8.23,-1.67%,-0.14,115.30万,9.50亿,3.70%,8.46,8.15,8.41,8.37,0.91,2.08%,7.66,1.24
5082,605299,舒华体育,17.60,-1.68%,-0.30,30.13万,5.33亿,5.64%,18.32,17.31,18.28,17.90,1.13,7.36%,74.02,5.99
5083,600381,*ST春天,4.69,-1.68%,-0.08,11.71万,5575.08万,7.97%,4.93,4.55,4.65,4.77,0.46,1.99%,-42.29,2.81
5084,300767,震安科技,20.48,-1.68%,-0.35,9.47万,1.94亿,4.08%,20.96,20.11,20.88,20.83,0.99,3.95%,-744.06,3.72
5085,920496,许昌智能,8.15,-1.69%,-0.14,2.19万,1789.51万,3.74%,8.40,8.09,8.40,8.29,0.88,1.51%,457.98,2.40
5086,600513,联环药业,18.93,-1.71%,-0.33,10.80万,2.04亿,4.67%,19.59,18.69,19.26,19.26,0.82,3.78%,210.27,4.23
